# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
6.71412e-02 -9.74550e-03 6.00468e-08
6.81663e-02 -9.74550e-03 5.98537e-08
6.91913e-02 -9.74550e-03 5.84844e-08
7.02164e-02 -9.74550e-03 5.86570e-08
7.12415e-02 -9.74550e-03 5.81443e-08
7.22665e-02 -9.74550e-03 5.77469e-08
7.32916e-02 -9.74550e-03 5.76266e-08
7.43166e-02 -9.74550e-03 5.87352e-08
7.53417e-02 -9.74550e-03 5.75773e-08
7.63667e-02 -9.74550e-03 5.79049e-08
7.73918e-02 -9.74550e-03 5.74787e-08
7.84169e-02 -9.74550e-03 5.70461e-08
7.94419e-02 -9.74550e-03 5.73414e-08
8.04670e-02 -9.74550e-03 5.41323e-08
8.14920e-02 -9.74550e-03 5.35386e-08
8.25171e-02 -9.74550e-03 5.31475e-08
8.35421e-02 -9.74550e-03 5.34480e-08
8.45672e-02 -9.74550e-03 5.53614e-08
8.55923e-02 -9.74550e-03 5.65506e-08
8.66173e-02 -9.74550e-03 5.47445e-08
8.76424e-02 -9.74550e-03 5.47781e-08
8.86674e-02 -9.74550e-03 5.45846e-08
